                       threads                function               
0,1                    -0,09516258196404043   1,070588601410505      
0,1375                 -0,1284656500028421    1,096905632435965      
0,17500000000000002    -0,16054297923079264   1,123072033107667      
0,21250000000000002    -0,19143968367854755   1,1490418141591543     
0,25                   -0,22119921692859512   1,174766765469954      
0,2875                 -0,24986343322901813   1,2001964047252074     
0,32499999999999996    -0,2774726463579278    1,2252779265602138     
0,36249999999999993    -0,30406568632135805   1,2499561522897285     
0,3999999999999999     -0,32967995396436106   1,2741734803264606     
0,4374999999999999     -0,35435147357210856   1,2978698373979014     
0,47499999999999987    -0,3781149435349805    1,3209826306754133     
0,5124999999999998     -0,4010037851488943    1,3434467009343862     
0,5499999999999998     -0,4230501896195159    1,3651942768692622     
0,5874999999999998     -0,44428516333646917   1,386154930692296      
0,6249999999999998     -0,4647385714812647    1,4062555351500863     
0,6624999999999998     -0,484439180030394     1,4254202220971655     
0,6999999999999997     -0,5034146962129663    1,4435703427712743     
0,7374999999999997     -0,5216918074805096    1,4606244299203677     
0,7749999999999997     -0,5392962190453954    1,4764981619368907     
0,8124999999999997     -0,5562526900442748    1,4911043291604484     
0,8499999999999996     -0,5725850683849928    1,504352802515624      
0,8874999999999996     -0,5883163243415027    1,5161505046574162     
0,9249999999999996     -0,603468582975003     1,5264013838025452     
0,9624999999999996     -0,6180631554871239    1,5350063904306923     
0,9999999999999996     -0,6321205696640452    1,5418634570456315     
